Time,Intensity
2022-07-29T14:20:10Z,0
2022-07-29T14:20:20Z,0
2022-07-29T14:20:30Z,0
2022-07-29T14:20:40Z,0
2022-07-29T14:20:50Z,0
2022-07-29T14:21:00Z,0
2022-07-29T14:21:10Z,0
2022-07-29T14:21:20Z,0
2022-07-29T14:21:30Z,0
2022-07-29T14:21:40Z,0
2022-07-29T14:21:50Z,0
2022-07-29T14:22:00Z,0
2022-07-29T14:22:10Z,0
2022-07-29T14:22:20Z,0
2022-07-29T14:22:30Z,0
2022-07-29T14:22:40Z,0
2022-07-29T14:22:50Z,0
2022-07-29T14:23:00Z,0
2022-07-29T14:23:10Z,0
2022-07-29T14:23:20Z,0
2022-07-29T14:23:30Z,0
2022-07-29T14:23:40Z,0
2022-07-29T14:23:50Z,0
2022-07-29T14:24:00Z,0
2022-07-29T14:24:10Z,0
2022-07-29T14:24:20Z,0
2022-07-29T14:24:30Z,0
2022-07-29T14:24:40Z,0
2022-07-29T14:24:50Z,0
2022-07-29T14:25:00Z,0
2022-07-29T14:25:10Z,0
2022-07-29T14:25:20Z,0
2022-07-29T14:25:30Z,0
2022-07-29T14:25:40Z,0
2022-07-29T14:25:50Z,0
2022-07-29T14:26:00Z,0
2022-07-29T14:26:10Z,0
2022-07-29T14:26:20Z,0
2022-07-29T14:26:30Z,0
2022-07-29T14:26:40Z,0
2022-07-29T14:26:50Z,0
2022-07-29T14:27:00Z,0
2022-07-29T14:27:10Z,0
2022-07-29T14:27:20Z,0
2022-07-29T14:27:30Z,0
2022-07-29T14:27:40Z,0
2022-07-29T14:27:50Z,0
2022-07-29T14:28:00Z,0
2022-07-29T14:28:10Z,0
2022-07-29T14:28:20Z,0
2022-07-29T14:28:30Z,0
2022-07-29T14:28:40Z,0
2022-07-29T14:28:50Z,0
2022-07-29T14:29:00Z,0
2022-07-29T14:29:10Z,0
2022-07-29T14:29:20Z,0
2022-07-29T14:29:30Z,0
2022-07-29T14:29:40Z,0
2022-07-29T14:29:50Z,0
2022-07-29T14:30:00Z,0
2022-07-29T14:30:10Z,0
2022-07-29T14:30:20Z,0
2022-07-29T14:30:30Z,0
2022-07-29T14:30:40Z,0
2022-07-29T14:30:50Z,0
2022-07-29T14:31:00Z,0
2022-07-29T14:31:10Z,0
2022-07-29T14:31:20Z,0
2022-07-29T14:31:30Z,0
2022-07-29T14:31:40Z,0
2022-07-29T14:31:50Z,0
2022-07-29T14:32:00Z,0
2022-07-29T14:32:10Z,0
2022-07-29T14:32:20Z,0
2022-07-29T14:32:30Z,0
2022-07-29T14:32:40Z,0
2022-07-29T14:32:50Z,0
2022-07-29T14:33:00Z,0
2022-07-29T14:33:10Z,0
2022-07-29T14:33:20Z,0
2022-07-29T14:33:30Z,0
2022-07-29T14:33:40Z,0
2022-07-29T14:33:50Z,0
2022-07-29T14:34:00Z,0
2022-07-29T14:34:10Z,0
2022-07-29T14:34:20Z,0
2022-07-29T14:34:30Z,0
2022-07-29T14:34:40Z,0
2022-07-29T14:34:50Z,0
2022-07-29T14:35:00Z,0
2022-07-29T14:35:10Z,0
2022-07-29T14:35:20Z,0
2022-07-29T14:35:30Z,0
2022-07-29T14:35:40Z,0
2022-07-29T14:35:50Z,0
2022-07-29T14:36:00Z,0
2022-07-29T14:36:10Z,0
2022-07-29T14:36:20Z,0
2022-07-29T14:36:30Z,0
2022-07-29T14:36:40Z,0
2022-07-29T14:36:50Z,0
2022-07-29T14:37:00Z,0
2022-07-29T14:37:10Z,0
2022-07-29T14:37:20Z,0
2022-07-29T14:37:30Z,0
2022-07-29T14:37:40Z,0
2022-07-29T14:37:50Z,0
2022-07-29T14:38:00Z,0
2022-07-29T14:38:10Z,0
2022-07-29T14:38:20Z,0
2022-07-29T14:38:30Z,0
2022-07-29T14:38:40Z,0
2022-07-29T14:38:50Z,3.555
2022-07-29T14:39:00Z,0
2022-07-29T14:39:10Z,0
2022-07-29T14:39:20Z,0
2022-07-29T14:39:30Z,0
2022-07-29T14:39:40Z,4.877
2022-07-29T14:39:50Z,0
2022-07-29T14:40:00Z,0
2022-07-29T14:40:10Z,0
2022-07-29T14:40:20Z,0
2022-07-29T14:40:30Z,0
2022-07-29T14:40:40Z,6.587
2022-07-29T14:40:50Z,10.401
2022-07-29T14:41:00Z,10.672
2022-07-29T14:41:10Z,5.714
2022-07-29T14:41:20Z,7.58
2022-07-29T14:41:30Z,11.546
2022-07-29T14:41:40Z,10.251
2022-07-29T14:41:50Z,7.75
2022-07-29T14:42:00Z,14.514
2022-07-29T14:42:10Z,18.852
2022-07-29T14:42:20Z,19.682
2022-07-29T14:42:30Z,21.816
2022-07-29T14:42:40Z,15.8
2022-07-29T14:42:50Z,12.986
2022-07-29T14:43:00Z,15.045
2022-07-29T14:43:10Z,12.688
2022-07-29T14:43:20Z,15.308
2022-07-29T14:43:30Z,13.946
2022-07-29T14:43:40Z,10.644
2022-07-29T14:43:50Z,14.927
2022-07-29T14:44:00Z,19.351
2022-07-29T14:44:10Z,14.463
2022-07-29T14:44:20Z,18.771
2022-07-29T14:44:30Z,21.225
2022-07-29T14:44:40Z,13.767
2022-07-29T14:44:50Z,17.931
2022-07-29T14:45:00Z,8.76
2022-07-29T14:45:10Z,15.278
2022-07-29T14:45:20Z,15.589
2022-07-29T14:45:30Z,17.305
2022-07-29T14:45:40Z,20.589
2022-07-29T14:45:50Z,15.727
2022-07-29T14:46:00Z,22.639
2022-07-29T14:46:10Z,22.302
2022-07-29T14:46:20Z,21.033
2022-07-29T14:46:30Z,21.47
2022-07-29T14:46:40Z,15.538
2022-07-29T14:46:50Z,18.74
2022-07-29T14:47:00Z,26.102
2022-07-29T14:47:10Z,34.426
2022-07-29T14:47:20Z,15.312
2022-07-29T14:47:30Z,10.641
2022-07-29T14:47:40Z,9.81
2022-07-29T14:47:50Z,10.164
2022-07-29T14:48:00Z,9.577
2022-07-29T14:48:10Z,8.139
2022-07-29T14:48:20Z,9.995
2022-07-29T14:48:30Z,10.376
2022-07-29T14:48:40Z,16.996
2022-07-29T14:48:50Z,17.904
2022-07-29T14:49:00Z,21.092
2022-07-29T14:49:10Z,17.03
2022-07-29T14:49:20Z,22.295
2022-07-29T14:49:30Z,16.839
2022-07-29T14:49:40Z,12.188
2022-07-29T14:49:50Z,17.938
2022-07-29T14:50:00Z,15.097
2022-07-29T14:50:10Z,17.555
2022-07-29T14:50:20Z,14.516
2022-07-29T14:50:30Z,12.519
2022-07-29T14:50:40Z,12.168
2022-07-29T14:50:50Z,11.263
2022-07-29T14:51:00Z,10.235
2022-07-29T14:51:10Z,14.923
2022-07-29T14:51:20Z,12.008
